Pallet,Weight,Profit
1,120,180
2,95,140
3,150,230
4,80,120
5,210,320
6,70,110
7,130,195
8,65,105
9,175,260
10,90,135
11,200,300
12,85,130
13,140,215
14,75,115
15,165,245
16,60,95
17,185,275
18,55,90
19,110,170
20,50,80
21,195,290
22,45,70
23,160,240
24,40,65
25,125,190
26,35,60
27,170,255
28,30,50
29,115,175
30,25,45
31,205,310
32,20,40
33,135,205
34,15,35
35,155,235
36,10,30
37,145,220
38,105,160
39,190,285
40,100,155
41,180,270
42,95,145
43,220,330
44,90,140
45,130,200
46,85,135
47,170,250
48,80,125
49,210,315
50,75,120
51,145,225
52,70,115
53,185,275
54,65,105
55,225,340
56,60,100
57,135,210
58,55,90
59,175,265
60,50,85
61,215,320
62,45,75
63,125,195
64,40,70
65,195,290
66,35,65
67,165,245
68,30,55
69,155,235
70,25,50
71,205,305
72,20,40
73,145,220
74,15,35
75,185,280
76,35,60
77,115,180
78,40,70
79,150,230
80,45,75
81,120,185
82,50,80
83,160,240
84,55,85
85,135,205
86,60,90
87,175,260
88,65,100
89,140,215
90,70,110
91,180,270
92,75,115
93,150,225
94,80,120
95,170,255
96,85,125
97,130,200
98,90,135
99,190,285
100,95,145
